GEOID,cGrade,dGrade,cdGrade,ALAND,totalPop,totalPop_m,white,white_m,black,black_m,otherRace,medianInc,medianInc_m,poverty,poverty_m,povertyB,povertyB_m,medicaid,house,house_m,tanf,tanf_m,tanfProp,snap,snap_m,snapProp,own,own_m,ownProp,rent,rent_m,rentProp,unins.x,unins_ml.x,unins_mh.x,asthma,asthma_ml,asthma_mh,obesity,obesity_ml,obesity_mh,dental,dental_ml,dental_mh,unins.y,unins_ml.y,unins_mh.y
29510118600,597287.3563970476,373960.6169998646,971247.9733969122,2737927,3980,424,2080,231,1491,328,409,39211,8642,729,245,342,218,466,1512,120,7,12,0.004629629629629629,163,80,0.1078042328042328,468,96,0.30952380952380953,1044,131,0.6904761904761905,16.9,14.6,19.8,10.5,10,11.2,29.9,28.7,31.1,54,49.8,58,16.9,14.6,19.8
29510113500,1246969.1009661257,0,1246969.1009661257,1797198,2205,194,2156,185,32,47,17,43333,9979,270,132,32,47,242,1192,87,36,28,0.030201342281879196,89,42,0.07466442953020135,745,103,0.625,447,105,0.375,11.2,8.5,14.1,8.9,8.3,9.5,27.3,25.6,29,66.7,61.7,71,11.2,8.5,14.1
29510117100,226501.85626183264,4378.769357919693,230880.62561975233,1083049,1685,213,1211,132,385,188,89,40137,2074,298,169,135,143,242,1019,66,10,8,0.009813542688910697,90,43,0.08832188420019627,188,34,0.1844946025515211,831,70,0.8155053974484789,10.7,8.7,13.9,9.1,8.6,9.7,28,26.5,29.5,68,63.9,71.6,10.7,8.7,13.9
29510115700,419844.16205859184,216484.17993557453,636328.3419941664,958989,3658,674,1631,398,1677,646,350,25988,4825,1679,645,836,536,1462,1358,154,72,60,0.053019145802650956,473,115,0.3483063328424153,354,96,0.2606774668630339,1004,160,0.7393225331369662,28.7,26,31.4,12.3,11.7,12.8,41.1,40.2,41.9,38.7,36,41.4,28.7,26,31.4
29510121200,0,857714.7735599801,857714.7735599801,857714,2343,313,47,49,2208,309,88,13102,3799,1316,294,1250,283,1407,896,68,47,40,0.052455357142857144,497,86,0.5546875,101,48,0.11272321428571429,795,76,0.8872767857142857,33.1,26.7,39.8,15.2,13.9,16.7,48.7,46.7,50.5,26.8,22.3,32,33.1,26.7,39.8
29510121100,14.949927184730768,688127.9744704887,688142.9243976735,1098514,1711,226,236,90,1412,249,63,16367,3596,846,207,660,208,661,922,78,39,33,0.04229934924078091,359,84,0.3893709327548807,13,14,0.014099783080260303,909,79,0.9859002169197397,25.8,21.6,30.8,12.8,12,13.7,42.6,41.1,44,43.6,39.4,47.5,25.8,21.6,30.8
29510115200,544786.1807357669,0,544786.1807357669,1348424,3370,372,1547,294,1393,245,430,28322,6146,1240,336,642,217,1386,1477,120,109,65,0.07379823967501693,555,140,0.37576167907921465,446,91,0.3019634394041977,1031,139,0.6980365605958023,24.6,21.9,27.4,11,10.5,11.6,37.3,36.2,38.4,40.3,36.8,43.9,24.6,21.9,27.4
29510108200,0,0,0,816932,2421,324,52,38,2311,328,58,26422,6107,578,341,547,342,779,1111,92,21,34,0.018901890189018902,444,109,0.3996399639963996,572,89,0.5148514851485149,539,107,0.48514851485148514,21.8,17.9,26.1,12.5,11.7,13.5,45,43.4,46.5,46.4,41.5,51.1,21.8,17.9,26.1
29510108300,0,0,0,748498,2049,285,132,115,1883,287,34,33750,7069,516,174,488,178,583,832,79,46,27,0.055288461538461536,337,69,0.4050480769230769,481,78,0.578125,351,89,0.421875,21.7,18.5,25.2,12.5,11.8,13.4,43.8,42.4,45.1,39.5,36.1,43,21.7,18.5,25.2
29510112400,5638.883205361664,511.1688614785671,6150.052066840231,938415,4006,377,2639,302,879,366,488,54167,3727,573,208,170,144,242,2326,141,0,11,0,48,43,0.02063628546861565,698,110,0.3000859845227859,1628,163,0.6999140154772141,9.5,7.8,12,8.4,8.1,8.9,22.9,21.9,24.1,68.8,65.6,71.8,9.5,7.8,12
